epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3479.74,1.07604,0.82481,1.38975,0.81211,0.85758,0.85762,0.63312,0.95249,94.187,1.28013,0.00841445,0.00841445,0.00841445
43,3564.29,1.07453,0.82351,1.38712,0.80988,0.8569,0.85337,0.62533,0.95149,98.6093,1.27324,0.00837578,0.00837578,0.00837578
44,3649.09,1.0709,0.81977,1.38451,0.7998,0.85465,0.84701,0.62531,0.94683,103.82,1.27375,0.00833711,0.00833711,0.00833711
45,3741.73,1.06463,0.80812,1.37859,0.81114,0.85266,0.84526,0.62139,0.95022,104.654,1.27315,0.00829844,0.00829844,0.00829844
46,3831.47,1.06163,0.80874,1.37636,0.81722,0.85397,0.86319,0.64015,0.9398,104.643,1.26724,0.00825977,0.00825977,0.00825977
47,3921.02,1.05895,0.8049,1.37581,0.81171,0.85414,0.85697,0.63591,0.93783,102.403,1.26829,0.00822109,0.00822109,0.00822109
48,4010.25,1.05483,0.79968,1.37759,0.82297,0.83872,0.85322,0.63123,0.93774,106.316,1.26712,0.00818242,0.00818242,0.00818242
49,4099.05,1.05663,0.80246,1.37693,0.8203,0.85231,0.85855,0.6392,0.9347,103.052,1.26798,0.00814375,0.00814375,0.00814375
50,4184.96,1.05021,0.793,1.36818,0.81238,0.85587,0.85528,0.63879,0.9302,103.983,1.26478,0.00810508,0.00810508,0.00810508
51,4270.92,1.04861,0.79098,1.37238,0.82642,0.8485,0.85469,0.63343,0.93518,105.194,1.27144,0.00806641,0.00806641,0.00806641
52,4359.43,1.04331,0.79021,1.36806,0.82262,0.86234,0.86156,0.64103,0.92741,103.038,1.2645,0.00802773,0.00802773,0.00802773
53,4449.4,1.03848,0.78654,1.3624,0.82074,0.8597,0.85938,0.6412,0.92558,107.323,1.26087,0.00798906,0.00798906,0.00798906
54,4539.46,1.03622,0.77305,1.36113,0.82025,0.85113,0.85471,0.63867,0.92075,107.976,1.25668,0.00795039,0.00795039,0.00795039
55,4631.19,1.03596,0.77637,1.36123,0.81775,0.86425,0.86128,0.64255,0.91839,107.414,1.25233,0.00791172,0.00791172,0.00791172
56,4718.58,1.0359,0.77367,1.35672,0.81977,0.8591,0.85545,0.64175,0.91601,109.181,1.24965,0.00787305,0.00787305,0.00787305
57,4804.59,1.02495,0.76681,1.35623,0.83397,0.85745,0.85941,0.64656,0.909,114.207,1.2476,0.00783438,0.00783438,0.00783438
58,4896.77,1.03135,0.7765,1.35516,0.8218,0.86468,0.86133,0.6479,0.90628,110.386,1.24514,0.0077957,0.0077957,0.0077957
59,4985.61,1.02476,0.76534,1.35054,0.80937,0.86959,0.85845,0.64843,0.90004,110.572,1.24009,0.00775703,0.00775703,0.00775703
60,5073.59,1.02343,0.75982,1.35013,0.83601,0.84159,0.86086,0.6521,0.90259,111.032,1.24249,0.00771836,0.00771836,0.00771836
61,5163.59,1.02605,0.76073,1.35114,0.81494,0.87309,0.86145,0.65011,0.89975,109.356,1.23679,0.00767969,0.00767969,0.00767969
62,5253.64,1.02218,0.7571,1.34749,0.83218,0.85815,0.86315,0.65106,0.90457,107.397,1.23904,0.00764102,0.00764102,0.00764102
63,5342.73,1.01345,0.7534,1.34157,0.82333,0.86446,0.86481,0.65037,0.902,111.309,1.23862,0.00760234,0.00760234,0.00760234
64,5428.77,1.0114,0.74932,1.33778,0.83958,0.86503,0.86464,0.64998,0.90021,112.981,1.23517,0.00756367,0.00756367,0.00756367
65,5518.05,1.00743,0.74719,1.3357,0.82839,0.86971,0.86534,0.65162,0.89785,114.1,1.23212,0.007525,0.007525,0.007525
66,5607.6,1.00835,0.74776,1.33825,0.82937,0.87568,0.86983,0.65757,0.89738,111.766,1.23454,0.00748633,0.00748633,0.00748633
67,5698.09,1.00073,0.74186,1.33649,0.8384,0.87164,0.87083,0.65788,0.89534,113.068,1.23522,0.00744766,0.00744766,0.00744766
68,5788.18,1.00412,0.74186,1.33473,0.83288,0.87041,0.86947,0.65807,0.89236,114.742,1.23377,0.00740898,0.00740898,0.00740898
69,5874.08,1.00028,0.73517,1.33523,0.83253,0.86081,0.86634,0.65916,0.88979,113.903,1.23282,0.00737031,0.00737031,0.00737031
70,5960.17,0.99587,0.73591,1.33664,0.82483,0.87483,0.86654,0.65909,0.88891,114.556,1.23325,0.00733164,0.00733164,0.00733164
71,6046.16,0.99652,0.73298,1.33698,0.83852,0.8646,0.86878,0.66239,0.88556,115.019,1.23061,0.00729297,0.00729297,0.00729297
72,6132.6,0.99151,0.73016,1.32594,0.82892,0.87594,0.86875,0.66115,0.88589,116.507,1.23008,0.0072543,0.0072543,0.0072543
73,6222.66,0.99131,0.73059,1.32943,0.83189,0.87376,0.8688,0.66094,0.88569,117.901,1.22895,0.00721562,0.00721562,0.00721562
74,6312.85,0.98449,0.72203,1.31988,0.83549,0.87382,0.87088,0.66458,0.88408,117.433,1.227,0.00717695,0.00717695,0.00717695
75,6404.51,0.98963,0.72216,1.32053,0.8358,0.87399,0.87114,0.66619,0.88091,117.804,1.22304,0.00713828,0.00713828,0.00713828
76,6493.08,0.98595,0.71599,1.31984,0.83833,0.87322,0.871,0.66607,0.87862,117.802,1.22181,0.00709961,0.00709961,0.00709961
77,6578.9,0.99044,0.73176,1.33156,0.83583,0.87229,0.86988,0.66446,0.87598,118.174,1.22028,0.00706094,0.00706094,0.00706094
78,6664.8,0.98007,0.71152,1.3195,0.84151,0.86808,0.87208,0.66719,0.87528,117.616,1.2195,0.00702227,0.00702227,0.00702227
79,6750.68,0.97916,0.7155,1.31717,0.83892,0.87109,0.87424,0.66962,0.87483,117.614,1.21944,0.00698359,0.00698359,0.00698359
80,6840.29,0.97919,0.71362,1.3154,0.83773,0.87181,0.87367,0.67043,0.87338,117.331,1.21828,0.00694492,0.00694492,0.00694492
81,6930.11,0.97727,0.70552,1.3172,0.83229,0.87358,0.87416,0.67016,0.8718,117.796,1.21705,0.00690625,0.00690625,0.00690625
82,7018.19,0.96905,0.70716,1.30911,0.83201,0.87543,0.8744,0.67076,0.87104,117.98,1.21551,0.00686758,0.00686758,0.00686758
83,7107.7,0.96961,0.69789,1.30481,0.83353,0.87835,0.8758,0.67203,0.87078,117.7,1.21416,0.00682891,0.00682891,0.00682891
84,7197.6,0.97008,0.69914,1.30754,0.83236,0.88349,0.8759,0.67087,0.86984,118.072,1.21265,0.00679023,0.00679023,0.00679023
85,7286.35,0.96613,0.70658,1.30886,0.8327,0.88374,0.8745,0.67235,0.86848,118.908,1.21191,0.00675156,0.00675156,0.00675156
86,7366.73,0.95976,0.69532,1.30389,0.82151,0.89383,0.8744,0.67206,0.86743,120.117,1.21118,0.00671289,0.00671289,0.00671289
87,7447.22,0.95971,0.69156,1.30139,0.82769,0.8911,0.87668,0.67377,0.86594,120.116,1.21067,0.00667422,0.00667422,0.00667422
88,7527.62,0.96147,0.6963,1.30653,0.83037,0.88745,0.87857,0.67612,0.86468,120.394,1.20998,0.00663555,0.00663555,0.00663555
89,7607.92,0.95655,0.69281,1.29976,0.83529,0.88701,0.87904,0.67744,0.86393,120.579,1.21004,0.00659688,0.00659688,0.00659688
90,7689.05,0.96127,0.69758,1.30496,0.82749,0.89497,0.87874,0.67678,0.86327,120.485,1.20932,0.0065582,0.0065582,0.0065582
91,7774.76,0.95049,0.68733,1.30008,0.83273,0.89221,0.87861,0.67714,0.8616,120.857,1.20853,0.00651953,0.00651953,0.00651953
92,7860.23,0.95436,0.68524,1.29684,0.83757,0.8834,0.87848,0.67644,0.86095,121.136,1.20811,0.00648086,0.00648086,0.00648086
