97,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",22,1
98,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",22,1
99,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",22,1
100,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",23,1
101,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",23,1
102,高中4*接力,"[米,秒]","{""1"":14,""2"":10,""3"":8,""4"":6,""5"":0}",23,1
103,农村、初中200米，100米,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",23,1
104,县直4*接力,"[米,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",23,1
105,县直、高中400米，800米，1500米,"[分,秒]","{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",23,1
106,农村、初中4*接力,"[分,秒]","{""1"":18,""2"":14,""3"":12,""4"":10,""5"":8,""6"":6,""7"":4,""8"":2,""9"":0}",23,1
107,农村、初中400米，800米，1500米,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",23,1
108,农村、初中田赛通用,[米],"{""1"":10,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",23,1
112,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",25,1
113,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",25,1
114,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",25,1
115,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",24,1
116,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",24,1
117,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",24,1
118,短跑规则（区间赋分版）,[秒],"{""22"":10,""24"":9,""26"":8,""28"":7,""30"":6}",21,0
119,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",27,1
120,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",27,1
121,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",27,1
122,长跑通用（排名赋分）,"[分,秒]","{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",28,1
123,田赛通用（排名赋分）,[米],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",28,1
124,短跑通用（排名赋分）,[秒],"{""1"":9,""2"":7,""3"":6,""4"":5,""5"":4,""6"":3,""7"":2,""8"":1,""9"":0}",28,1
125,县直、高中100米，200米,[秒],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",29,1
126,县直、高中田赛通用,[米],"{""1"":7,""2"":5,""3"":4,""4"":3,""5"":2,""6"":1,""7"":0}",29,1
